# 던전 장비 직접 드랍 — MinFloor~MaxFloor 구간에서만 롤 (Pool: normal | boss)
DungeonId,ItemId,MinFloor,MaxFloor,Weight,MinQty,MaxQty,Pool
dungeon_slime_forest,weapon_wood_sword,1,9,520,1,1,normal
dungeon_slime_forest,weapon_stone_sword,1,9,520,1,1,normal
dungeon_slime_forest,armor_leather_helmet,1,9,380,1,1,normal
dungeon_slime_forest,armor_leather_armor,1,9,380,1,1,normal
dungeon_slime_forest,armor_leather_pants,1,9,380,1,1,normal
dungeon_slime_forest,armor_leather_boots,1,9,380,1,1,normal
dungeon_slime_forest,weapon_red_gold_sword,7,9,70,1,1,normal
dungeon_slime_forest,armor_crimson_helmet,7,9,55,1,1,normal
dungeon_slime_forest,armor_crimson_armor,7,9,55,1,1,normal
dungeon_slime_forest,armor_crimson_pants,7,9,55,1,1,normal
dungeon_slime_forest,armor_crimson_boots,7,9,55,1,1,normal
dungeon_slime_forest,weapon_wood_sword,10,10,950,1,1,boss
dungeon_slime_forest,weapon_stone_sword,10,10,950,1,1,boss
dungeon_slime_forest,armor_leather_helmet,10,10,750,1,1,boss
dungeon_slime_forest,armor_leather_armor,10,10,750,1,1,boss
dungeon_slime_forest,armor_leather_pants,10,10,750,1,1,boss
dungeon_slime_forest,armor_leather_boots,10,10,750,1,1,boss
dungeon_slime_forest,weapon_red_gold_sword,10,10,70,1,1,boss
dungeon_slime_forest,armor_crimson_helmet,10,10,55,1,1,boss
dungeon_slime_forest,armor_crimson_armor,10,10,55,1,1,boss
dungeon_slime_forest,armor_crimson_pants,10,10,55,1,1,boss
dungeon_slime_forest,armor_crimson_boots,10,10,55,1,1,boss
dungeon_goblin_den,weapon_red_gold_sword,1,13,480,1,1,normal
dungeon_goblin_den,armor_crimson_helmet,1,13,340,1,1,normal
dungeon_goblin_den,armor_crimson_armor,1,13,340,1,1,normal
dungeon_goblin_den,armor_crimson_pants,1,13,340,1,1,normal
dungeon_goblin_den,armor_crimson_boots,1,13,340,1,1,normal
dungeon_goblin_den,weapon_gold_sword,11,13,70,1,1,normal
dungeon_goblin_den,armor_iron_helmet,11,13,55,1,1,normal
dungeon_goblin_den,armor_iron_armor,11,13,55,1,1,normal
dungeon_goblin_den,armor_iron_pants,11,13,55,1,1,normal
dungeon_goblin_den,armor_iron_boots,11,13,55,1,1,normal
dungeon_goblin_den,weapon_red_gold_sword,14,14,950,1,1,boss
dungeon_goblin_den,weapon_steel_sword,14,14,950,1,1,boss
dungeon_goblin_den,armor_crimson_helmet,14,14,750,1,1,boss
dungeon_goblin_den,armor_crimson_armor,14,14,750,1,1,boss
dungeon_goblin_den,armor_crimson_pants,14,14,750,1,1,boss
dungeon_goblin_den,armor_crimson_boots,14,14,750,1,1,boss
dungeon_goblin_den,weapon_steel_sword,14,14,70,1,1,boss
dungeon_goblin_den,weapon_gold_sword,14,14,70,1,1,boss
dungeon_goblin_den,armor_iron_helmet,14,14,55,1,1,boss
dungeon_goblin_den,armor_iron_armor,14,14,55,1,1,boss
dungeon_goblin_den,armor_iron_pants,14,14,55,1,1,boss
dungeon_goblin_den,armor_iron_boots,14,14,55,1,1,boss
dungeon_wolf_ravine,weapon_steel_sword,1,15,420,1,1,normal
dungeon_wolf_ravine,armor_iron_helmet,1,15,300,1,1,normal
dungeon_wolf_ravine,armor_iron_armor,1,15,300,1,1,normal
dungeon_wolf_ravine,armor_iron_pants,1,15,300,1,1,normal
dungeon_wolf_ravine,armor_iron_boots,1,15,300,1,1,normal
dungeon_wolf_ravine,weapon_gold_sword,13,15,70,1,1,normal
dungeon_wolf_ravine,armor_golden_helmet,13,15,55,1,1,normal
dungeon_wolf_ravine,armor_golden_armor,13,15,55,1,1,normal
dungeon_wolf_ravine,armor_golden_pants,13,15,55,1,1,normal
dungeon_wolf_ravine,armor_golden_boots,13,15,55,1,1,normal
dungeon_wolf_ravine,weapon_steel_sword,16,16,950,1,1,boss
dungeon_wolf_ravine,weapon_gold_sword,16,16,950,1,1,boss
dungeon_wolf_ravine,armor_iron_helmet,16,16,750,1,1,boss
dungeon_wolf_ravine,armor_iron_armor,16,16,750,1,1,boss
dungeon_wolf_ravine,armor_iron_pants,16,16,750,1,1,boss
dungeon_wolf_ravine,armor_iron_boots,16,16,750,1,1,boss
dungeon_wolf_ravine,weapon_gold_sword,16,16,70,1,1,boss
dungeon_wolf_ravine,armor_golden_helmet,16,16,55,1,1,boss
dungeon_wolf_ravine,armor_golden_armor,16,16,55,1,1,boss
dungeon_wolf_ravine,armor_golden_pants,16,16,55,1,1,boss
dungeon_wolf_ravine,armor_golden_boots,16,16,55,1,1,boss
dungeon_crypt_of_dead,weapon_gold_sword,1,17,360,1,1,normal
dungeon_crypt_of_dead,armor_golden_helmet,1,17,260,1,1,normal
dungeon_crypt_of_dead,armor_golden_armor,1,17,260,1,1,normal
dungeon_crypt_of_dead,armor_golden_pants,1,17,260,1,1,normal
dungeon_crypt_of_dead,armor_golden_boots,1,17,260,1,1,normal
dungeon_crypt_of_dead,weapon_gold_sword,18,18,950,1,1,boss
dungeon_crypt_of_dead,armor_golden_helmet,18,18,750,1,1,boss
dungeon_crypt_of_dead,armor_golden_armor,18,18,750,1,1,boss
dungeon_crypt_of_dead,armor_golden_pants,18,18,750,1,1,boss
dungeon_crypt_of_dead,armor_golden_boots,18,18,750,1,1,boss
dungeon_scorch_rift,weapon_diamond_sword,1,19,340,1,1,normal
dungeon_scorch_rift,armor_diamond_helmet,1,19,240,1,1,normal
dungeon_scorch_rift,armor_diamond_armor,1,19,240,1,1,normal
dungeon_scorch_rift,armor_diamond_pants,1,19,240,1,1,normal
dungeon_scorch_rift,armor_diamond_boots,1,19,240,1,1,normal
dungeon_scorch_rift,weapon_diamond_sword,20,20,950,1,1,boss
dungeon_scorch_rift,armor_diamond_helmet,20,20,750,1,1,boss
dungeon_scorch_rift,armor_diamond_armor,20,20,750,1,1,boss
dungeon_scorch_rift,armor_diamond_pants,20,20,750,1,1,boss
dungeon_scorch_rift,armor_diamond_boots,20,20,750,1,1,boss
dungeon_frost_citadel,weapon_diamond_sword,1,21,320,1,1,normal
dungeon_frost_citadel,armor_diamond_helmet,1,21,220,1,1,normal
dungeon_frost_citadel,armor_diamond_armor,1,21,220,1,1,normal
dungeon_frost_citadel,armor_diamond_pants,1,21,220,1,1,normal
dungeon_frost_citadel,armor_diamond_boots,1,21,220,1,1,normal
dungeon_frost_citadel,weapon_diamond_sword,22,22,950,1,1,boss
dungeon_frost_citadel,armor_diamond_helmet,22,22,750,1,1,boss
dungeon_frost_citadel,armor_diamond_armor,22,22,750,1,1,boss
dungeon_frost_citadel,armor_diamond_pants,22,22,750,1,1,boss
dungeon_frost_citadel,armor_diamond_boots,22,22,750,1,1,boss
dungeon_dragon_roost,weapon_gold_sword,1,23,300,1,1,normal
dungeon_dragon_roost,armor_golden_helmet,1,23,210,1,1,normal
dungeon_dragon_roost,armor_golden_armor,1,23,210,1,1,normal
dungeon_dragon_roost,armor_golden_pants,1,23,210,1,1,normal
dungeon_dragon_roost,armor_golden_boots,1,23,210,1,1,normal
dungeon_dragon_roost,weapon_gold_sword,24,24,950,1,1,boss
dungeon_dragon_roost,armor_golden_helmet,24,24,750,1,1,boss
dungeon_dragon_roost,armor_golden_armor,24,24,750,1,1,boss
dungeon_dragon_roost,armor_golden_pants,24,24,750,1,1,boss
dungeon_dragon_roost,armor_golden_boots,24,24,750,1,1,boss
dungeon_void_rift,weapon_gold_sword,1,25,280,1,1,normal
dungeon_void_rift,armor_golden_helmet,1,25,200,1,1,normal
dungeon_void_rift,armor_golden_armor,1,25,200,1,1,normal
dungeon_void_rift,armor_golden_pants,1,25,200,1,1,normal
dungeon_void_rift,armor_golden_boots,1,25,200,1,1,normal
dungeon_void_rift,weapon_gold_sword,26,26,950,1,1,boss
dungeon_void_rift,armor_golden_helmet,26,26,750,1,1,boss
dungeon_void_rift,armor_golden_armor,26,26,750,1,1,boss
dungeon_void_rift,armor_golden_pants,26,26,750,1,1,boss
dungeon_void_rift,armor_golden_boots,26,26,750,1,1,boss
dungeon_void_rift,weapon_gold_sword,22,25,120,1,1,normal
dungeon_void_rift,armor_golden_helmet,22,25,90,1,1,normal
dungeon_void_rift,armor_golden_armor,22,25,90,1,1,normal
dungeon_slime_forest,armor_chain_helmet,1,9,380,1,1,normal
dungeon_slime_forest,armor_chain_armor,1,9,380,1,1,normal
dungeon_slime_forest,armor_chain_pants,1,9,380,1,1,normal
dungeon_slime_forest,armor_chain_boots,1,9,380,1,1,normal
dungeon_slime_forest,armor_chain_helmet,10,10,750,1,1,boss
dungeon_slime_forest,armor_chain_armor,10,10,750,1,1,boss
dungeon_slime_forest,armor_chain_pants,10,10,750,1,1,boss
dungeon_slime_forest,armor_chain_boots,10,10,750,1,1,boss
